text,emotion,category
Указаний номер телефону  не обслуговується. Ніде немає режиму роботи. Він взагалі у Пологах працює??,Sadness,Complaint / Dissatisfaction
"Дуже гарне місце! Просто дух захоплює. Тут хочеться навчатися, навіть байдуже на якій спеціальності!",Happiness,Gratitude / Positive Feedback
"Я Вовченко Ліза. Учениця комп'ютерної академії КРОК у Харкові. І хочу залишити відгук про найкращий вуз, тут мене навчили дуже багато від програмування до фотографії, Всі викладачі доброзичливі і завжди готові допомогти колись не виходить.…",Happiness,Gratitude / Positive Feedback
"Обслуговання жахливе документи дивляться і заповнюють в холі людей повно,черги,свої питання мусиш розповідати присилюдно щоб всі чули в кабінет зайти щось спитати тобі хамлять. ксерокса нема треба бігти до варуса щоб зробити копії .ми плаьим подаьки і ви працюєте получаєте зарплати то будьласка щось міняйте",Anger,Complaint / Dissatisfaction
"Прекрасний сервіс, лише шкода, що скоротили час прийому по буднях до 18.00. Раніше було дуже зручно, що після роботи ще можна було встигнути зробити все",Sadness,Complaint / Dissatisfaction
"Дуже якісне обслуговування, працівники привітні та ввічливі. Залишилися лише приємні враження",Happiness,Gratitude / Positive Feedback
"На пл. Ринок ЦНАП м.Львова, швидке ьа якісне вирішення питань",Happiness,Gratitude / Positive Feedback
"Дуже ввічливий колектив, на консультації все роз'яснили, підібрали оптимальний варіант під запит",Happiness,Gratitude / Positive Feedback
"керівництво університету закрили вхід, при цьому на воротах написано укриття, створилась черга з 300+ людей яких пускають по одному раз в пів години.…",Anger,Complaint / Dissatisfaction
Навчання в цьому коледжі викликає позитивні враження. Викладачі — професіонали своєї справи.,Happiness,Gratitude / Positive Feedback
"У січні оформляли документи на реконструкцію офісних приміщень (більше 2000 кв.м.) усі БТІ та юридичні організації говорили, що буде довго дорого і важко. З хлопцями все пройшло швидко в ДАБК і з техпаспортом БТІ та реєстрацією прав власності. І їхні послуги були дешевшими ніж у всіх. Дякую. Рекомендую.",Happiness,Gratitude / Positive Feedback
"У приміщенні колишнього дитсадка потрібно зменшитися до габаритів дитини, щоб усі відвідувачі помістилися, не створюючи незручностей. Наявність правосуддя – окрема велика тема",Neutral,Complaint / Dissatisfaction
"На вул. Шекспіра 9 у дворі проживає 7 собак, на них оформлений договір опіки який порушується майже по всім пунктам, опікун поводить себе агресивно, на скарги сусідів реагує матом. Від мешканців сусідніх будинків та від дільничого вже…",Anger,Complaint / Dissatisfaction
"Дозвонились неможливо, соціальні допомоги затримують, в чергах ну дуже довго стояти, пенсіонери чи вагітні без різниці, всі стояти. Обслуговування жахливе, персонал не кваліфікований",Anger,Complaint / Dissatisfaction
"Приїхали із чоловіком за котиками. Дуже хвилювалися, адже у таких місцях не бували. Велике дякую Лілі! Познайомила із котами. Відповідала на всі запитання. У нас було багато часу потискати котиків. Взяли двох дівчаток. Нам провели…",Happiness,Gratitude / Positive Feedback
"Дуже хороша школа, викладачі навчають цікаво та доступно",Happiness,Gratitude / Positive Feedback
"Хами на вул. Володимира Антоновича.. не приємно працювати із такими людьми. Коли не можуть щось вирішити, включають ""мороз"". А ти з двомісячною дитиною бігай до них через день, то обід у них, то талонів нема",Anger,Complaint / Dissatisfaction
Чекаєш по 3 години поки викличуть Хоча час призначено. Суд просто відстій.,Anger,Complaint / Dissatisfaction
"Здавала в цьому сервісному центрі теоретичний і практичний іспит. Сервіс на високому рівні, все швидко, чітко, без проблем. Хоч практичний іспит і не здала з першого разу, але залишилась приємно вражена ставленням інспекторів до учня, все…",Happiness,Gratitude / Positive Feedback
"Проводила обмін паспорта, все сбодобалося, гарний прийом",Happiness,Gratitude / Positive Feedback
Люди працюють чудово. Усі привітні до вас і дуже чуйні.,Happiness,Gratitude / Positive Feedback
"Львів – одна з найкращих міжнародних подорожей з точки зору задоволення та вражень, які ви отримуєте за витрачені гроші. Місто зуміло зберегти свій історичний колорит, люди поважні, ми його полюбили.",Happiness,Gratitude / Positive Feedback
"Задум сам по собі чудовий! Але є багато недоробок. Наприклад: робота ПЗ. Навіщо підключати до серверів Києва, які постійно вилітають? Можна ж зробити місцевий сервер, який потім синхронізуватиме дані з основним. Наприклад, уночі. А так мені сподобалося і обслуговування та інтер'єр. Чекав близько години, доки не працювало ПЗ.",Anger,Complaint / Dissatisfaction
"Філія пекла, хоча співробітники не винні. Своє питання вирішило миттєво – лише близько години, мені пощастило.",Neutral,Gratitude / Positive Feedback
"Прийшла до 8-30, черга 50-60 чоловік, пощастило, що не працював сервіс з оформлення паспорта і черга розійшлася. Вийшла в 10-30, просто жах.",Anger,Complaint / Dissatisfaction
"Не віддавайте туди своїх тварин. Цуценят присипають через добу, а дорослих собак за тиждень. І все це за бюджетні гроші за допомогою нашого ""улюбленого"" мера.
У всій Україні, на мою думку, тільки в Харкові залишилися такі ""притулки"".…",Anger,Complaint / Dissatisfaction
"Звертався до цпд Черкаси.
Консультацію провів юрист Олександр Павлович, юрист з військового права.
Рекомендую!!!",Happiness,Gratitude / Positive Feedback
"Тут, у гімназії, колись навчався Гоголь. Нині відверто слабенький навчальний заклад",Sadness,Complaint / Dissatisfaction
"Зараз проходжу навчання в IT Step Academy. Мені подобається, що багато практики та матеріал подають доступно. Викладачі досвідчені, завжди допомагають. Атмосфера дружня, є мотивація вчитися. Загалом я задоволений і вважаю, що обрав хороший напрям для розвитку в ІТ.",Happiness,Gratitude / Positive Feedback
"Гарна будівля. Найцікавіше те що на міській раді лелече гніздо. Треба розуміти, що вони сюди прилітають постійно. Вперше зустрічаю такий приємний випадок. Нехай приносять щастя не тільки міській раді, а і всій міській громаді Яворова :)",Happiness,Gratitude / Positive Feedback
"Дуже дбайливий персонал, все розʼяснили в допомогли! Дякую!",Happiness,Gratitude / Positive Feedback
"Хочу щиро подякувати Олександру Павловичу за допомогу!!! Ця людина справжній професіонал у своїй справі, швидко і якісно допоміг вирішити мою проблему, щиро рекомендую усім!!!",Happiness,Gratitude / Positive Feedback
"Бути художником вас тут точно НЕ навчать!

Викладачі дають завдання але нічого не розповідають і не вчать, мов піди в…",Anger,Complaint / Dissatisfaction
"Гарний сервіс, швидко надані процедури, приємний та компетентний персонал.",Happiness,Gratitude / Positive Feedback
"Чудовий персонал, ввічливий чуйний, не проти допомогти, проконсультувати, а головне зробити все якомога швидше. Невелика черга з однієї людини не напружує, як на мене так надала можливість трохи довше милуватися чарівними співробітницями.",Happiness,Gratitude / Positive Feedback
Сьогодні відкриття військової кафедри. Ще один важливий аспект розвитку країни,Happiness,Neutral Comment
"Мені здається, що наша кузня супер-кадрів в IT має виглядати сучасніше.",Neutral,Suggestion / Idea
"Хамське ставлення. Модерації живої черги немає. У співробітників немає беджів. По виду керівник відділення тільки і робить що виганяє людей в черзі на вулицю, щоб не заважали! Цікава перерва на дезінфекцію, хоча в інших відділеннях такого немає",Anger,Complaint / Dissatisfaction
"Молодці,відношення на вищому рівні ,дякую за допомогу!",Happiness,Gratitude / Positive Feedback
"Нічого дивного в нашому місті, коли телефонуєш з самого ранку і не можеш дізнатися відповідь на звичайне питання.
Заради консультації, треба зриватися з роботи і їхати, сидіти у вас пів дня 🤬…",Anger,Complaint / Dissatisfaction
Цілком задоволений цим бюро. Тетяна Петрівна Золотий співробітник. Дякуємо за професіоналізм👍…,Happiness,Gratitude / Positive Feedback
"Дуже сильні викладачі Мурликіна Наталія Віталіївна та Новіков Олексій Валентинович. Дочка за рік відвідуючи їх курси просто інакше стала сприймати навчання. Не з позиції ""треба"", а з позиції ""нічого собі як може бути цікаво на навчанні"". Дуже рекомендую. Шкода, що сама не навчалася у цьому університеті. Хоча маю дві вищі освіти.",Happiness,Gratitude / Positive Feedback
"Дуже красивий ансамбль будівель. При відвідуванні рекомендую відразу взяти екскурсію при вході на територію комплексу, щоб потрапити всередину головного корпусу, і побачити дуже красиві ЗАЛИ",Happiness,Suggestion / Idea
Особлива подяка відділу оформлення паспортів а саме начальнику відділу. Ось де де а тут людей з інвалідністю дійсно приймають позачергових не зважаючи на труднощі повьязані з цим. Дуже людяний відділ та дуже людяні співробітники. Заслуговують тільки подяки та поваги. Дякую!!!!,Happiness,Gratitude / Positive Feedback
"Доброго дня! Підкажіть, будь ласка коли можна буде подати заяву на відшкодування власникам зруйнованого майна, яке знаходиться у спільній власності подружжя?",Neutral,Question / Request for Help
Неймовірне місце. Приїхав заради цього місця в пару днів. Краще один раз побачити екскурсію.,Happiness,Gratitude / Positive Feedback
"Закінчив у 1988 році. Було приголомшливо тут вчитися. Шкода, що привітатися з преподами вже не вийде. був.Сподіваюся, що і є. Коли технар на Плехановській знаходився, іноді вчилися в 2 зміни. пішов,55 ще не было.Народ,хто хоче вивчитися норм,але в ХЕМТ;)",Happiness,Gratitude / Positive Feedback
"Був у центрі 15.11.2021року
Просто супер, жінка на рицепшині пояснила все зрозуміло, допомогла зареєструватися. Видно що людина знаходиться на своєму місці, дякую!!!",Happiness,Gratitude / Positive Feedback
"Була на консультації у Станіслава Васильовича, дуже задоволена",Happiness,Gratitude / Positive Feedback
"Обслуговував Олексій Петраш.
Рукожоп.Крадії.Не рекомендую!",Anger,Complaint / Dissatisfaction
"Була на консультації у Валерії Юріївна спеціалістом задоволена,надала якісну консультацію",Happiness,Gratitude / Positive Feedback
"Хочу висловити свою подяку персоналу сервісу за чуйність та персональний підхід до клієнта! Просто чудово пройшов сьогодні наш візит до паспортного сервісу! Прийшла з 9 міс.дитиною для оформлення його паспорта, нас миттєво відправили без…",Happiness,Gratitude / Positive Feedback
"Найкращий вуз. Комфортні гуртожитки, нові аудиторії, спорткомплекс, басейн, палац студентів, величезна бібліотека та безліч різних курсів. І звичайно ж викладачі, які не лише теоретики, а й практики.",Happiness,Gratitude / Positive Feedback
Добрий вечір. Підкажіть будласка чому мені не приходить виплата ?,Sadness,Question / Request for Help
"Скільки разів була у соц захисті - завжди отримувала допомогу і людське ставлення. Робота із людьми завжди дуже важка, але ви із нею справляєтеся добре !)",Happiness,Gratitude / Positive Feedback
ВІТАЮ неможливо додзвонитись викликають???проживаю м.Гостомель...на 7 .10. суд . Де ваша логіка???,Anger,Complaint / Dissatisfaction
"Була  дуже приємно вражена чуйним та уважним ставленням , високим професіоналізмом працівників ЦНАП . Дякую за Ваше розуміння і увагу . Оформили ВПО двом літнім людям максимально швидко  . Додзвонилась на запис в електронну чергу з  першого разу .",Happiness,Gratitude / Positive Feedback
"Чудова школа для розвитку лідерських, професійних та інших цікавих та корисних навичок у дітей та підлітків!",Happiness,Gratitude / Positive Feedback
"Вхід з двору. Тут працюють люди, відданій своїй справі!",Happiness,Gratitude / Positive Feedback
"@JollyRogerFlag Прошу про допомогу.Мій дім навпроти, вибило всі вікна. Буду щиро вдячна будь-якій підтримці,бо як я зрозуміла, ЄВідновлення буде працювати після війни і то, коли створять комісії. Всім дякую за підтримку  Приват: 123 Моно: 123",Sadness,Question / Request for Help
"У Хортицькому відділі субсидій вирішити питання неможливо складно. Прийому немає. Телефони на міський зв'язок, який мобільні оператори не обслуговують або автовідповідач. Людям пенсійного віку подолати це складно. Знущання.",Anger,Complaint / Dissatisfaction
"Все залежить, звичайно, від факультету та спеціальності.",Neutral,Neutral Comment
Мені потрібно було зробити оцінку земельної ділянки для продажу. Звернувся до компанії «Дельта-Консалтинг». Фахівці цієї фірми зробили оцінку за один день та допомогли нам швидко оформити угоду.,Happiness,Gratitude / Positive Feedback
"Робив сьогодні пірсинг,все сполобалось,дуже чудовий заклад",Happiness,Gratitude / Positive Feedback
"Гарне місце, але брак екскурсоводів на свята - це мінус.",Sadness,Complaint / Dissatisfaction
Був на консультації у Валерії Юріївни з військового права щодо змін в законодавстві.Консультацією задоволений.,Happiness,Gratitude / Positive Feedback
"Резиденція православних митрополитів Буковини і Далмації – унікальна архітектурна споруда. Будували її 18 років, розпочавши роботи у 1864 році. Будівництво резиденції не мало аналогів на Буковині й коштувало на той час астрономічні гроші.…",Neutral,Neutral Comment
"Дуже погано поставлена робота. Спочатку спеціалісти вимагають довідку від БТІ, а потім з'ясовується що вони подають електронний запит. Спеціалісти хамовиті. Дуже високої думки про себе. Отримують зарплату з наших податків, а ведуть себе як…",Anger,Complaint / Dissatisfaction
"Складала практичний іспит в Сервісному центрі м.Переяслав. Іспит склала з другої спроби. Організація процесу здачі іспиту на високому рівні.  Персонал Центру та екзаменатори ввічливі та порядні.
Рекомендую.",Happiness,Gratitude / Positive Feedback
"Дуже гарне місце із незвичною архітектурою. Вхід платний. Але варта погуляти, подивитись. В саме приміщення не пускають - тільки для працівників.",Neutral,Neutral Comment
Радимо звернутись щодо цього питання на пошту — some.mail@com.com,Neutral,Suggestion / Idea
"Якщо хочете добряче поплатаки (від радості й від суму), раджу цю книжку. Коротенькі історії без пафосу про людей Майдану.",Happiness,Suggestion / Idea
"компанія не виконує своїх обов'язків, гроші справно вимагають",Anger,Complaint / Dissatisfaction
"Дякую, за швидку роботу, дуже привітні співробітники!",Happiness,Gratitude / Positive Feedback
"Після операції на коліні треба було перевезти тата додому. Айболіт виконав це на відмінно. Швидко, оперативно, якісно. Так тримати!!",Happiness,Gratitude / Positive Feedback
"Беззуб Наталія Анатоліївна дуже гарний спеціаліст, привітна,уважна, доброзичлива. Завжди ставилась до мене з професійним завзяттям. Висловлюю щиру подяку ЦНАП Індустріального району, та його робітниці Наталіі Анатоліївні.",Happiness,Gratitude / Positive Feedback
"Рекомендую Малу комп'ютерну академію ""КРОК"". Це те місце, яке не лише навчає, а й надихає. У моєї дочки горять очі: анімація, ігри Коду, фотоколажі, відеоролики та багато іншого. Стільки нового, корисного – і це лише за перший семестр 4-го…",Happiness,Gratitude / Positive Feedback
"Була у Романа Володимировича по військовому питанню, консультацією задоволена. Дякую",Happiness,Gratitude / Positive Feedback
"ну я там навчаюсь і я спочатку думав що це нічого а потім, я сказав це найкраща школа !!! РЕКОМЕНДУЮ",Happiness,Gratitude / Positive Feedback
"Отримала величезний заряд позитивних емоцій та особистісне зростання! Дякую Маші за курс з комунікацій, адміністраторам Каті та Юлі за організацію та доброзичливу атмосферу в студії ❤️❤️",Happiness,Gratitude / Positive Feedback
Краще навпаки при виборі варіанту інші не вибрані робити прозорішими,Neutral,Suggestion / Idea
"Неприхована краса стилю, архітектури та смаку. Екскурсії починаються з ранку і до 16:30. Кожні 30 хвилин біля входу в університет збираються групи і Ви потрапляєте в руки досвідчених екскурсоводів. Обов'язково відвідайте університет та його парк. Бажаю гарних вражень.",Happiness,Gratitude / Positive Feedback
"Дуже задоволені результатом. Уся робота була проведена швидко. Тим паче робили все для бабусі. Залишилися дуже задоволені з першого разу, що велика рідкість для нашого ринку. Дякую",Happiness,Gratitude / Positive Feedback
Дуже крутий майданчик але там де є зелена і червона гойдалка на тому майданчику стало дуже багато колючок кавунів! тому ставлю 3 зірки!⭐⭐⭐,Neutral,Complaint / Dissatisfaction
"Доброзичливе відношення, з увагою до клієнта і приємливий термін у виконанні замовлення.і",Happiness,Gratitude / Positive Feedback
"Не робіть сюди. Викладачі не компетентні, зате всі будуть ставитися до тебе так, ніби ти їм винен.
Тут вас будуть мучити ідіотськими і непотрібними предметами всі роки навчання,…",Anger,Complaint / Dissatisfaction
